trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-218.63638821907622,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-106.59544571560492,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-32.03218593500866,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-68.05891420603078,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-20.832262506496004,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-5.825822381514078,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-13.304045322350408,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,17,-60.31277137816756,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",30,24,10.504720179298806,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,0,-4.436341061788938,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,5.570808772132974,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-66.33305836620991,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,32.999004896664054,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,30.362767828273274,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
