trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-26.183260518212776,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-260.14517611328455,"{0: 16, 1: 3, 2: 4, 3: 3, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-110.90943968451148,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-161.4364227015902,"{0: 21, 1: 4, 2: 6, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-267.1639546509934,"{0: 14, 1: 3, 2: 7, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,7,-55.61987042586077,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-88.88925288298852,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-97.71138886977054,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-143.66620803540073,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-140.57013746465748,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-158.03658264994036,"{0: 20, 1: 0, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-91.87451953388717,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-138.73404679095202,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,12,-7.33081236962331,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-141.63106918570224,"{0: 14, 1: 5, 2: 1, 3: 4, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-101.84528548084751,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-222.4611260425956,"{0: 20, 1: 3, 2: 7, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,4,-62.32128460088069,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-115.46600426258114,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-187.65507333986227,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-91.26669852483782,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-102.91761894848828,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-71.60728383684652,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-201.49103009504174,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-181.98955875993707,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-93.50223009248285,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-95.99115751311602,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-90.8797985516111,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",35,0,-201.3887862590299,"{0: 17, 1: 6, 2: 9, 3: 1, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",35,0,-170.6329246583988,"{0: 21, 1: 1, 2: 10, 3: 2, 4: 1}",0
